dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_grammar_code	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
20306	frustra				ADV	POS				POS			X	X	X	A	X	in vain; for nothing, to no purpose;
20307	frustramen	frustramin			N	3 2 N T	3	2	N		T		X	X	X	E	C	deception;
20308	frustratio	frustration			N	3 1 F T	3	1	F		T		X	X	X	D	X	deceiving, disappointment;
20309	frutect	frutect			N	2 2 N T	2	2	N		T		X	X	X	C	O	thicket of shrubs/bushes, covert; shrubs/bushes (pl.);
20310	frutectos	frutectos			ADJ	1 1 POS	1	1		POS			X	X	X	N	O	shrubby, abounding in thickets; bushy, resembling a bush/shrub;
20311	frutet	frutet			N	2 2 N T	2	2	N		T		X	X	X	D	S	thicket, covert; place full of shrubs/bushes;
20312	frutex	frutic			N	3 1 M T	3	1	M		T		X	X	X	C	O	shrub, bush; shoot, stem, stalk, growth; blockhead;
20313	frutic	frutic	fruticav	fruticat	V	1 1 INTRANS	1	1			INTRANS		X	A	X	C	O	put forth shoots, bush/branch out; (antlers); become bushy, grow thickly (hair);
20314	frutic	frutic	-	fruticat	V	1 1 DEP	1	1			DEP		X	A	X	B	O	put forth shoots, bush/branch out; (antlers); become bushy, grow thickly (hair);
20315	fruticet	fruticet			N	2 2 N T	2	2	N		T		X	X	X	D	S	thicket, covert; place full of shrubs/bushes;
20316	fruticos	fruticos			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	bushy;
20317	frux	frug			N	3 1 F T	3	1	F		T		X	X	X	B	X	crops (pl.), fruits, produce, legumes; honest men;
20318	Frygi	Frygi			N	1 1 F L	1	1	F		L		X	X	Q	E	O	Phrygia, country comprising center and west of Asia Minor; Troy (poetical);
20319	Frygi	Frygi			ADJ	1 1 POS	1	1		POS			X	X	Q	C	O	Phrygian, of Phyrigia (center and west of Asia Minor); Trojan;
20320	fuc	fuc			N	2 1 M T	2	1	M		T		X	X	X	B	O	dye; (as cosmetic) rouge; bee-glue, propolis; presence/disguise/sham; seaweed;
20321	fuc	fuc	fucav	fucat	V	1 1 X	1	1			X		X	X	X	D	X	color; paint; dye;
20322	fucos	fucos			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	sham, bogus;
20323	fug	fug			N	1 1 F T	1	1	F		T		X	X	X	A	X	flight, fleeing, escape; avoidance; exile; fugue (music);
20324	fug	fug	fugav	fugat	V	1 1 X	1	1			X		X	X	X	B	X	put to flight, rout; chase away; drive into exile;
20325	fugax	fugac			ADJ	3 1 POS	3	1		POS			X	X	X	D	X	flying swiftly; swift; avoiding, transitory;
20326	fugi	fug	fug	fugit	V	3 1 X	3	1			X		X	X	X	A	X	flee, fly, run away; avoid, shun; go into exile;
20327	fugitiv	fugitiv			N	2 1 M P	2	1	M		P		X	X	X	D	X	fugitive; deserter; runaway slave;
20328	fugitiv	fugitiv			ADJ	1 1 POS	1	1		POS			X	X	X	D	X	fugitive;
20329	fulci	fulc	fuls	fult	V	3 4 X	3	4			X		X	X	X	B	X	prop up, support;
20330	fulcimen	fulcimin			N	3 2 N T	3	2	N		T		X	X	X	E	C	prop, support, pillar;
20331	fulciment	fulciment			N	2 2 N T	2	2	N		T		F	X	X	F	M	book-rest;
20332	fulcr	fulcr			N	2 2 N T	2	2	N		T		X	S	X	D	X	fulcrum; point of support for lever;
20333	fulcr	fulcr			N	2 2 N T	2	2	N		T		X	X	X	D	X	head or back-support of a couch; bed post; foot of a couch; sole of the foot;
20334	fulg	fulg	fuls	-	V	2 1 X	2	1			X		X	X	X	B	X	flash, shine; glow, gleam, glitter, shine forth, be bright;
20335	fulgens	fulgent	fulgenti	fulgentissi	ADJ	3 1 X	3	1		X			X	X	X	C	O	flashing, gleaming/glittering, resplendent; brilliant (white); bright, splendid;
20336	fulgenter	fulgentius	fulgentissime		ADV	X				X			X	X	X	N	O	resplendently; brilliantly; splendidly; glitteringly (L+S);
20337	fulgesc	fulgesc	-	-	V	3 1 X	3	1			X		X	X	X	F	S	flash; glitter;
20338	fulgid	fulgid			ADJ	1 1 POS	1	1		POS			X	X	X	E	C	shining, gleaming, glittering;
